daterange,exchange,currency,asset,strategy,profit,market,trades,maxDD,winPct,avgWin,avgLoss,lastAction,lastActionDate,candleSize,historySize,raw full,quickName,commission,sl_hits,sl_atr_hits,sl_flash_hits,sl_trail_hits,sl_loss_hits
Jan2019_Jul2020,kraken,USD,XBT,SupertrendXm,97,147,34,-49 %,59 %,13.7,-7.3,sell,2020-06-11T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":1.5,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_1.5]_1440m_Jan2019_Jul2020_comm_0.1_tDDZNW.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_1.5]"",""asset"":""XBT""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 1.5\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_1.5],0.1,0,0,0,0,0
Jan2019_Jul2020,kraken,USD,ETH,SupertrendXm,106,72,28,-55 %,50 %,22.8,-8.3,sell,2020-06-26T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":1.5,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_1.5]_1440m_Jan2019_Jul2020_comm_0.1_tDDZNW.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_1.5]"",""asset"":""ETH""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 1.5\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_1.5],0.1,0,0,0,0,0
Jan2019_Jul2020,kraken,USD,XRP,SupertrendXm,-6,-50,22,-40 %,36 %,11.1,-6.3,sell,2020-06-11T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":1.5,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XRP"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_1.5]_1440m_Jan2019_Jul2020_comm_0.1_tDDZNW.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_1.5]"",""asset"":""XRP""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 1.5\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_1.5],0.1,0,0,0,0,0
Jan2019_Jul2020,kraken,USD,LTC,SupertrendXm,286,38,22,-36 %,55 %,35.4,-7.1,sell,2020-06-11T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":1.5,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""LTC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_1.5]_1440m_Jan2019_Jul2020_comm_0.1_tDDZNW.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_1.5]"",""asset"":""LTC""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 1.5\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_1.5],0.1,0,0,0,0,0
Jan2019_Jul2020,kraken,USD,BCH,SupertrendXm,110,50,30,-57 %,27 %,55.4,-7.5,sell,2020-06-11T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":1.5,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""BCH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_1.5]_1440m_Jan2019_Jul2020_comm_0.1_tDDZNW.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_1.5]"",""asset"":""BCH""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 1.5\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_1.5],0.1,0,0,0,0,0
Jan2019_Jul2020,binance,USDT,BNB,SupertrendXm,131,151,34,-54 %,47 %,22.1,-7.1,sell,2020-06-11T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":1.5,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""BNB"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_1.5]_1440m_Jan2019_Jul2020_comm_0.1_tDDZNW.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_1.5]"",""asset"":""BNB""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 1.5\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_1.5],0.1,0,0,0,0,0
Jan2019_Jul2020,kraken,USD,EOS,SupertrendXm,115,-6,28,-40 %,36 %,32.3,-5.6,sell,2020-06-11T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":1.5,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""EOS"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_1.5]_1440m_Jan2019_Jul2020_comm_0.1_tDDZNW.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_1.5]"",""asset"":""EOS""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 1.5\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_1.5],0.1,0,0,0,0,0
Jan2019_Jul2020,bitfinex,USD,BSV,SupertrendXm,474,82,24,-51 %,33 %,125.1,-12.4,sell,2020-06-11T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":1.5,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""bitfinex"",""currency"":""USD"",""asset"":""BSV"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_1.5]_1440m_Jan2019_Jul2020_comm_0.1_tDDZNW.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_1.5]"",""asset"":""BSV""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 1.5\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_1.5],0.1,0,0,0,0,0
Jan2019_Jul2020,kraken,USD,XLM,SupertrendXm,61,-39,26,-51 %,46 %,17.1,-5.5,sell,2020-06-11T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":1.5,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XLM"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_1.5]_1440m_Jan2019_Jul2020_comm_0.1_tDDZNW.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_1.5]"",""asset"":""XLM""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 1.5\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_1.5],0.1,0,0,0,0,0
Jan2019_Jul2020,binance,USDT,ADA,SupertrendXm,265,105,24,-46 %,58 %,30.2,-7.9,sell,2020-06-11T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":1.5,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""ADA"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_1.5]_1440m_Jan2019_Jul2020_comm_0.1_tDDZNW.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_1.5]"",""asset"":""ADA""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 1.5\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_1.5],0.1,0,0,0,0,0
