daterange,exchange,currency,asset,strategy,profit,market,trades,maxDD,winPct,avgWin,avgLoss,lastAction,lastActionDate,candleSize,historySize,raw full,quickName,commission,sl_hits,sl_atr_hits,sl_flash_hits,sl_trail_hits,sl_loss_hits
Jan2018_Jan2019,kraken,USD,XBT,SupertrendXm,-41,-74,13,-53 %,17 %,6.1,-9,buy,2018-12-20T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""atr_type"":""raw"",""bandFactor"":2.5},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2.5]_1440m_Jan2018_Jan2019_comm_0.1_VWLkKY.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2.5]"",""asset"":""XBT""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-01T00:00:00Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\natr_type = \""raw\""\nbandFactor = 2.5""}",SupertrendXm_b1440_[raw_5d_2.5],0.1,0,0,0,0,0
Jan2018_Jan2019,kraken,USD,ETH,SupertrendXm,-3,-82,11,-64 %,40 %,25.8,-18.5,buy,2018-12-20T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""atr_type"":""raw"",""bandFactor"":2.5},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2.5]_1440m_Jan2018_Jan2019_comm_0.1_VWLkKY.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2.5]"",""asset"":""ETH""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-01T00:00:00Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\natr_type = \""raw\""\nbandFactor = 2.5""}",SupertrendXm_b1440_[raw_5d_2.5],0.1,0,0,0,0,0
Jan2018_Jan2019,kraken,USD,XRP,SupertrendXm,-55,-83,13,-76 %,33 %,16.9,-23,buy,2018-12-18T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""atr_type"":""raw"",""bandFactor"":2.5},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XRP"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2.5]_1440m_Jan2018_Jan2019_comm_0.1_VWLkKY.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2.5]"",""asset"":""XRP""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-01T00:00:00Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\natr_type = \""raw\""\nbandFactor = 2.5""}",SupertrendXm_b1440_[raw_5d_2.5],0.1,0,0,0,0,0
Jan2018_Jan2019,kraken,USD,LTC,SupertrendXm,-71,-87,15,-80 %,0 %,0,-16.3,buy,2018-12-17T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""atr_type"":""raw"",""bandFactor"":2.5},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""LTC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2.5]_1440m_Jan2018_Jan2019_comm_0.1_VWLkKY.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2.5]"",""asset"":""LTC""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-01T00:00:00Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\natr_type = \""raw\""\nbandFactor = 2.5""}",SupertrendXm_b1440_[raw_5d_2.5],0.1,0,0,0,0,0
Jan2018_Jan2019,kraken,USD,BCH,SupertrendXm,-43,-94,15,-66 %,14 %,64.2,-18.1,buy,2018-12-19T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""atr_type"":""raw"",""bandFactor"":2.5},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""BCH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2.5]_1440m_Jan2018_Jan2019_comm_0.1_VWLkKY.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2.5]"",""asset"":""BCH""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-01T00:00:00Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\natr_type = \""raw\""\nbandFactor = 2.5""}",SupertrendXm_b1440_[raw_5d_2.5],0.1,0,0,0,0,0
Jan2018_Jan2019,binance,USDT,BNB,SupertrendXm,-12,-28,9,-75 %,50 %,8,-16.1,buy,2018-12-20T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""atr_type"":""raw"",""bandFactor"":2.5},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""BNB"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2.5]_1440m_Jan2018_Jan2019_comm_0.1_VWLkKY.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2.5]"",""asset"":""BNB""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-01T00:00:00Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\natr_type = \""raw\""\nbandFactor = 2.5""}",SupertrendXm_b1440_[raw_5d_2.5],0.1,0,0,0,0,0
Jan2018_Jan2019,kraken,USD,EOS,SupertrendXm,-28,-70,13,-74 %,17 %,89.2,-18.1,buy,2018-12-16T23:39:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""atr_type"":""raw"",""bandFactor"":2.5},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-16T23:39:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""EOS"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2.5]_1440m_Jan2018_Jan2019_comm_0.1_VWLkKY.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2.5]"",""asset"":""EOS""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-21T23:39:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-16T23:39:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\natr_type = \""raw\""\nbandFactor = 2.5""}",SupertrendXm_b1440_[raw_5d_2.5],0.1,0,0,0,0,0
Jan2018_Jan2019,kraken,USD,XLM,SupertrendXm,-33,-69,11,-53 %,40 %,13.6,-15.4,buy,2018-12-19T17:50:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""atr_type"":""raw"",""bandFactor"":2.5},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-17T17:50:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XLM"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2.5]_1440m_Jan2018_Jan2019_comm_0.1_VWLkKY.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2.5]"",""asset"":""XLM""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-22T17:50:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-17T17:50:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\natr_type = \""raw\""\nbandFactor = 2.5""}",SupertrendXm_b1440_[raw_5d_2.5],0.1,0,0,0,0,0
Jan2018_Jan2019,binance,USDT,ADA,SupertrendXm,-51,-86,11,-71 %,0 %,0,-15.2,buy,2018-12-18T04:02:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""atr_type"":""raw"",""bandFactor"":2.5},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-04-17T04:02:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""ADA"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2.5]_1440m_Jan2018_Jan2019_comm_0.1_VWLkKY.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2.5]"",""asset"":""ADA""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-04-22T04:02:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2018-04-17T04:02:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\natr_type = \""raw\""\nbandFactor = 2.5""}",SupertrendXm_b1440_[raw_5d_2.5],0.1,0,0,0,0,0
Jan2018_Jan2019,bitfinex,USD,TRX,SupertrendXm,-62,-63,13,-79 %,17 %,27.9,-23.9,buy,2018-11-27T18:02:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""atr_type"":""raw"",""bandFactor"":2.5},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-26T18:02:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""bitfinex"",""currency"":""USD"",""asset"":""TRX"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2.5]_1440m_Jan2018_Jan2019_comm_0.1_VWLkKY.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2.5]"",""asset"":""TRX""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-31T18:02:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-26T18:02:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\natr_type = \""raw\""\nbandFactor = 2.5""}",SupertrendXm_b1440_[raw_5d_2.5],0.1,0,0,0,0,0
