daterange,exchange,currency,asset,strategy,profit,market,trades,maxDD,winPct,avgWin,avgLoss,lastAction,lastActionDate,candleSize,historySize,raw full,quickName,commission,sl_hits,sl_atr_hits,sl_flash_hits,sl_trail_hits,sl_loss_hits
Jan2017_Jul2020,kraken,USD,XBT,SupertrendXm,2078,844,46,-50 %,52 %,45.1,-8.1,sell,2020-06-27T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2017_Jul2020_comm_0.1_axChob.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""XBT""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,ETH,SupertrendXm,22076,2693,42,-69 %,67 %,90.2,-12.9,sell,2020-06-27T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2017_Jul2020_comm_0.1_axChob.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""ETH""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,XRP,SupertrendXm,91,-48,44,-75 %,36 %,89.5,-14.4,sell,2020-05-09T15:46:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-05-18T15:46:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XRP"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2017_Jul2020_comm_0.1_axChob.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""XRP""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-05-23T15:46:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2017-05-18T15:46:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,LTC,SupertrendXm,2351,841,44,-78 %,36 %,112.3,-11.2,sell,2020-06-19T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""LTC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2017_Jul2020_comm_0.1_axChob.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""LTC""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,BCH,SupertrendXm,1000,-11,42,-73 %,43 %,71.3,-14.2,sell,2020-06-14T16:01:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-08-01T16:01:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""BCH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2017_Jul2020_comm_0.1_axChob.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""BCH""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-08-06T16:01:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2017-08-01T16:01:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,XMR,SupertrendXm,1141,392,46,-100 %,43 %,62.9,-11.5,sell,2020-06-26T19:14:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-02T19:14:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XMR"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2017_Jul2020_comm_0.1_axChob.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""XMR""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-07T19:14:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-02T19:14:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,DASH,SupertrendXm,826,-11,38,-74 %,42 %,66,-11.7,sell,2020-06-27T17:28:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-04-12T17:28:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""DASH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2017_Jul2020_comm_0.1_axChob.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""DASH""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-04-17T17:28:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2017-04-12T17:28:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,ETC,SupertrendXm,1737,294,46,-87 %,35 %,157.6,-11.1,sell,2020-06-11T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2017_Jul2020_comm_0.1_axChob.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""ETC""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,ZEC,SupertrendXm,1399,6,47,-77 %,52 %,82.3,-13.2,buy,2020-05-18T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ZEC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2017_Jul2020_comm_0.1_axChob.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""ZEC""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,GNO,SupertrendXm,0,-79,36,-90 %,39 %,35.1,-15.7,sell,2020-06-14T17:20:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-05-01T17:20:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""GNO"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2017_Jul2020_comm_0.1_axChob.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""GNO""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-05-06T17:20:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2017-05-01T17:20:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
