daterange,exchange,currency,asset,strategy,profit,market,trades,maxDD,winPct,avgWin,avgLoss,lastAction,lastActionDate,candleSize,historySize,raw full,quickName,commission,sl_hits,sl_atr_hits,sl_flash_hits,sl_trail_hits,sl_loss_hits
Jan2018_Jul2020,kraken,USD,XBT,SupertrendXm,65,-35,36,-50 %,39 %,25,-7.6,sell,2020-06-27T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2018_Jul2020_comm_0.1_oKslSg.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""XBT""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
Jan2018_Jul2020,kraken,USD,ETH,SupertrendXm,183,-70,32,-55 %,63 %,22.3,-13.3,sell,2020-06-27T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2018_Jul2020_comm_0.1_oKslSg.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""ETH""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
Jan2018_Jul2020,kraken,USD,XRP,SupertrendXm,-60,-91,34,-80 %,29 %,16.2,-12.5,sell,2020-06-11T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XRP"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2018_Jul2020_comm_0.1_oKslSg.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""XRP""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
Jan2018_Jul2020,kraken,USD,LTC,SupertrendXm,10,-82,34,-76 %,24 %,59,-11.6,sell,2020-06-19T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""LTC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2018_Jul2020_comm_0.1_oKslSg.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""LTC""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
Jan2018_Jul2020,kraken,USD,BCH,SupertrendXm,133,-91,36,-62 %,33 %,56.8,-13,sell,2020-06-11T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""BCH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2018_Jul2020_comm_0.1_oKslSg.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""BCH""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
Jan2018_Jul2020,binance,USDT,BNB,SupertrendXm,98,80,38,-87 %,37 %,51.5,-13.6,sell,2020-06-11T00:00:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""BNB"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2018_Jul2020_comm_0.1_oKslSg.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""BNB""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
Jan2018_Jul2020,kraken,USD,EOS,SupertrendXm,35,-71,34,-74 %,41 %,36.2,-13.5,sell,2020-06-10T23:39:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-02-16T23:39:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""EOS"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2018_Jul2020_comm_0.1_oKslSg.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""EOS""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-02-21T23:39:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2018-02-16T23:39:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
Jan2018_Jul2020,kraken,USD,XLM,SupertrendXm,54,-81,30,-51 %,40 %,26.5,-9.7,sell,2020-06-14T17:50:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-02-17T17:50:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XLM"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2018_Jul2020_comm_0.1_oKslSg.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""XLM""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-02-22T17:50:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2018-02-17T17:50:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
Jan2018_Jul2020,binance,USDT,ADA,SupertrendXm,125,-70,28,-63 %,50 %,35.2,-14.2,sell,2020-06-14T04:02:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-04-17T04:02:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""ADA"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2018_Jul2020_comm_0.1_oKslSg.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""ADA""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-04-22T04:02:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2018-04-17T04:02:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
Jan2018_Jul2020,bitfinex,USD,TRX,SupertrendXm,-70,-69,42,-82 %,29 %,20.4,-13.5,sell,2020-06-10T18:02:00.000Z,1440,5,"{""strategyName"":""SupertrendXm"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""SupertrendXm"":{""name"":""SupertrendXm"",""batchSize"":1440,""candleSize"":1440,""atrEma"":""5d"",""bandFactor"":2,""atr_type"":""raw""},""tradingAdvisor"":{""enabled"":true,""method"":""SupertrendXm"",""candleSize"":1440,""historySize"":5},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-01-26T18:02:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""bitfinex"",""currency"":""USD"",""asset"":""TRX"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/SupertrendXm_b1440_[raw_5d_2]_1440m_Jan2018_Jul2020_comm_0.1_oKslSg.csv"",""quickName"":""SupertrendXm_b1440_[raw_5d_2]"",""asset"":""TRX""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-01-31T18:02:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2018-01-26T18:02:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""SupertrendXm\""\nbatchSize = 1440\ncandleSize = 1440\natrEma = \""5d\""\nbandFactor = 2\natr_type = \""raw\""""}",SupertrendXm_b1440_[raw_5d_2],0.1,0,0,0,0,0
