daterange,exchange,currency,asset,strategy,profit,market,trades,maxDD,winPct,avgWin,avgLoss,lastAction,lastActionDate,candleSize,historySize,raw full,quickName,commission,sl_hits,sl_atr_hits,sl_flash_hits,sl_trail_hits,sl_loss_hits
Jan2017_Jan2018,kraken,USD,XBT,expreg_slope,1065,1347,18,-43 %,67 %,60.1,-5.3,sell,2017-12-23T22:00:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-17T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2017_Jan2018_comm_0.1_Hidn1r.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""XBT""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-01T00:00:00Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-17T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,ETH,expreg_slope,6643,9124,20,-69 %,70 %,137.5,-5.6,sell,2017-12-30T10:00:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-17T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2017_Jan2018_comm_0.1_Hidn1r.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""ETH""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-01T00:00:00Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-17T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,XRP,expreg_slope,167,560,19,-60 %,22 %,3.6,-10.6,buy,2017-12-13T03:46:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-05-18T15:46:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XRP"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2017_Jan2018_comm_0.1_Hidn1r.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""XRP""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-06-02T15:46:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2017-05-18T15:46:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,LTC,expreg_slope,1496,5161,28,-55 %,29 %,244.4,-10.2,sell,2017-12-26T14:00:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-17T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""LTC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2017_Jan2018_comm_0.1_Hidn1r.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""LTC""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-01T00:00:00Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-17T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,BCH,expreg_slope,540,686,9,-66 %,50 %,174.1,-11,buy,2017-12-14T00:01:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-08-01T16:01:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""BCH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2017_Jan2018_comm_0.1_Hidn1r.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""BCH""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-08-16T16:01:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2017-08-01T16:01:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,XMR,expreg_slope,1719,2704,22,-54 %,64 %,74.9,-10.3,sell,2017-12-30T15:14:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-02T19:14:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XMR"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2017_Jan2018_comm_0.1_Hidn1r.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""XMR""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-17T19:14:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-02T19:14:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,DASH,expreg_slope,575,1168,16,-46 %,50 %,88.5,-9,sell,2017-12-30T23:28:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-04-12T17:28:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""DASH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2017_Jan2018_comm_0.1_Hidn1r.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""DASH""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-04-27T17:28:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2017-04-12T17:28:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,ETC,expreg_slope,696,1763,24,-60 %,50 %,73,-13.4,sell,2017-12-26T21:00:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-17T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2017_Jan2018_comm_0.1_Hidn1r.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""ETC""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-01T00:00:00Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-17T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,ZEC,expreg_slope,531,887,20,-58 %,70 %,40.8,-8.8,sell,2017-12-30T06:00:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-17T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ZEC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2017_Jan2018_comm_0.1_Hidn1r.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""ZEC""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-01T00:00:00Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-17T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,GNO,expreg_slope,-29,22,8,-72 %,25 %,68,-24.5,sell,2017-08-15T12:20:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-05-01T17:20:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""GNO"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2017_Jan2018_comm_0.1_Hidn1r.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""GNO""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-05-16T17:20:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2017-05-01T17:20:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
