daterange,exchange,currency,asset,strategy,profit,market,trades,maxDD,winPct,avgWin,avgLoss,lastAction,lastActionDate,candleSize,historySize,raw full,quickName,commission,sl_hits,sl_atr_hits,sl_flash_hits,sl_trail_hits,sl_loss_hits
Jan2018_Jul2020,kraken,USD,XBT,expreg_slope,-15,-35,60,-60 %,37 %,14.9,-7.9,sell,2020-06-13T15:00:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-17T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2018_Jul2020_comm_0.1_e1bzAZ.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""XBT""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-17T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
Jan2018_Jul2020,kraken,USD,ETH,expreg_slope,159,-70,56,-62 %,43 %,26.4,-9.3,sell,2020-06-27T23:00:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-17T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2018_Jul2020_comm_0.1_e1bzAZ.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""ETH""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-17T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
Jan2018_Jul2020,kraken,USD,XRP,expreg_slope,6,-91,66,-68 %,36 %,16.8,-7.4,sell,2020-06-11T22:00:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-17T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XRP"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2018_Jul2020_comm_0.1_e1bzAZ.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""XRP""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-17T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
Jan2018_Jul2020,kraken,USD,LTC,expreg_slope,37,-82,54,-64 %,30 %,28.7,-7.9,sell,2020-06-12T09:00:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-17T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""LTC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2018_Jul2020_comm_0.1_e1bzAZ.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""LTC""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-17T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
Jan2018_Jul2020,kraken,USD,BCH,expreg_slope,6,-91,52,-81 %,38 %,31.7,-12.7,sell,2020-06-13T15:00:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-17T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""BCH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2018_Jul2020_comm_0.1_e1bzAZ.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""BCH""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-17T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
Jan2018_Jul2020,binance,USDT,BNB,expreg_slope,275,80,54,-75 %,30 %,52.4,-7.7,sell,2020-06-12T07:00:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-17T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""BNB"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2018_Jul2020_comm_0.1_e1bzAZ.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""BNB""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2017-12-17T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
Jan2018_Jul2020,kraken,USD,EOS,expreg_slope,-24,-70,60,-82 %,30 %,31.6,-10.6,sell,2020-06-13T00:39:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-02-16T23:39:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""EOS"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2018_Jul2020_comm_0.1_e1bzAZ.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""EOS""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-03-03T23:39:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2018-02-16T23:39:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
Jan2018_Jul2020,kraken,USD,XLM,expreg_slope,82,-81,58,-61 %,41 %,19.7,-7.6,sell,2020-06-14T03:50:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-02-17T17:50:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XLM"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2018_Jul2020_comm_0.1_e1bzAZ.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""XLM""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-03-04T17:50:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2018-02-17T17:50:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
Jan2018_Jul2020,binance,USDT,ADA,expreg_slope,46,-77,53,-79 %,31 %,36.5,-9.8,buy,2020-06-23T22:02:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-04-17T04:02:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""ADA"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2018_Jul2020_comm_0.1_e1bzAZ.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""ADA""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-05-02T04:02:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2018-04-17T04:02:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
Jan2018_Jul2020,bitfinex,USD,TRX,expreg_slope,-27,-64,60,-66 %,37 %,16.5,-8.9,sell,2020-06-15T03:02:00.000Z,60,360,"{""strategyName"":""expreg_slope"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""expreg_slope"":{""batchSize"":60,""candleSize"":60,""reg_period"":""15d""},""tradingAdvisor"":{""enabled"":true,""method"":""expreg_slope"",""candleSize"":60,""historySize"":360},""backtest"":{""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-01-26T18:02:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""bitfinex"",""currency"":""USD"",""asset"":""TRX"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/expreg_slope_b60_15d_60m_Jan2018_Jul2020_comm_0.1_e1bzAZ.csv"",""quickName"":""expreg_slope_b60_15d"",""asset"":""TRX""}}},""daterange"":{""name"":""Jan2018_Jul2020"",""from"":""2018-02-10T18:02:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jul2020"",""from"":""2018-01-26T18:02:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nreg_period = \""15d\""""}",expreg_slope_b60_15d,0.1,0,0,0,0,0
