daterange,exchange,currency,asset,strategy,profit,market,trades,maxDD,winPct,avgWin,avgLoss,lastAction,lastActionDate,candleSize,historySize,raw full,quickName,commission,sl_hits,sl_atr_hits,sl_flash_hits,sl_trail_hits,sl_loss_hits
Jan2017_Jul2020,kraken,USD,XBT,hilo,919,844,72,-54 %,50 %,27.2,-7.6,sell,2020-06-26T14:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_A0CboY.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""XBT""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,ETH,hilo,3698,2693,66,-70 %,42 %,73.4,-11.7,sell,2020-06-27T16:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_A0CboY.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""ETH""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,XRP,hilo,276,-14,62,-71 %,39 %,62.1,-10.1,sell,2020-06-11T12:46:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-05-18T15:46:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XRP"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_A0CboY.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""XRP""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-05-28T15:46:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2017-05-18T15:46:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,LTC,hilo,1344,841,72,-76 %,36 %,77.7,-9.8,sell,2020-06-11T14:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""LTC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_A0CboY.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""LTC""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,BCH,hilo,1653,-32,58,-66 %,41 %,57,-9.8,sell,2020-06-27T09:01:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-08-01T16:01:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""BCH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_A0CboY.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""BCH""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-08-11T16:01:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2017-08-01T16:01:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,XMR,hilo,339,446,82,-100 %,41 %,31.4,-9.3,sell,2020-06-26T08:14:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-02T19:14:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XMR"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_A0CboY.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""XMR""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-12T19:14:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-02T19:14:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,DASH,hilo,1153,-4,58,-54 %,45 %,46.5,-8.5,sell,2020-06-26T06:28:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-04-12T17:28:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""DASH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_A0CboY.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""DASH""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-04-22T17:28:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2017-04-12T17:28:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,ETC,hilo,1759,294,68,-85 %,32 %,149.8,-11,sell,2020-06-26T07:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_A0CboY.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""ETC""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,ZEC,hilo,1301,6,63,-68 %,48 %,42.6,-9.6,buy,2020-06-22T18:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ZEC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_A0CboY.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""ZEC""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,GNO,hilo,-15,-80,58,-85 %,38 %,25.4,-12.6,sell,2020-06-25T15:20:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-05-01T17:20:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""GNO"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_A0CboY.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""GNO""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-05-11T17:20:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2017-05-01T17:20:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
