daterange,exchange,currency,asset,strategy,profit,market,trades,maxDD,winPct,avgWin,avgLoss,lastAction,lastActionDate,candleSize,historySize,raw full,quickName,commission,sl_hits,sl_atr_hits,sl_flash_hits,sl_trail_hits,sl_loss_hits
Jan2018_Jan2019,kraken,USD,XBT,hilo,-40,-74,23,-44 %,27 %,8.1,-8.6,buy,2018-12-18T23:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-22T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_aGzWg8.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""XBT""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-01T00:00:00Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-22T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2018_Jan2019,kraken,USD,ETH,hilo,-16,-82,23,-70 %,18 %,40,-11.2,buy,2018-12-18T23:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-22T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_aGzWg8.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""ETH""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-01T00:00:00Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-22T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2018_Jan2019,kraken,USD,XRP,hilo,-27,-83,21,-69 %,20 %,51.8,-13.9,buy,2018-12-17T18:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-22T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XRP"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_aGzWg8.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""XRP""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-01T00:00:00Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-22T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2018_Jan2019,kraken,USD,LTC,hilo,-51,-87,20,-59 %,30 %,7.4,-11.9,sell,2018-12-27T19:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-22T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""LTC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_aGzWg8.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""LTC""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-01T00:00:00Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-22T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2018_Jan2019,kraken,USD,BCH,hilo,20,-94,19,-56 %,33 %,30.4,-11.8,buy,2018-12-19T01:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-22T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""BCH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_aGzWg8.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""BCH""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-01T00:00:00Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-22T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2018_Jan2019,binance,USDT,BNB,hilo,-59,-28,27,-84 %,15 %,10.2,-10.5,buy,2018-12-17T20:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-22T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""BNB"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_aGzWg8.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""BNB""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-01T00:00:00Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-22T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2018_Jan2019,kraken,USD,EOS,hilo,-5,-69,20,-73 %,20 %,71.8,-11.6,sell,2018-12-27T18:39:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-16T23:39:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""EOS"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_aGzWg8.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""EOS""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-26T23:39:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-16T23:39:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2018_Jan2019,kraken,USD,XLM,hilo,-13,-69,19,-46 %,33 %,30.7,-11.9,buy,2018-12-19T12:50:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-17T17:50:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XLM"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_aGzWg8.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""XLM""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-27T17:50:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-17T17:50:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2018_Jan2019,binance,USDT,ADA,hilo,-23,-86,15,-49 %,29 %,2.8,-10.1,buy,2018-12-17T16:02:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-04-17T04:02:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""ADA"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_aGzWg8.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""ADA""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-04-27T04:02:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2018-04-17T04:02:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2018_Jan2019,bitfinex,USD,TRX,hilo,-41,-37,19,-61 %,22 %,39.8,-18,buy,2018-12-17T16:02:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-26T18:02:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""bitfinex"",""currency"":""USD"",""asset"":""TRX"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_aGzWg8.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""TRX""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-05T18:02:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-26T18:02:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
