daterange,exchange,currency,asset,strategy,profit,market,trades,maxDD,winPct,avgWin,avgLoss,lastAction,lastActionDate,candleSize,historySize,raw full,quickName,commission,sl_hits,sl_atr_hits,sl_flash_hits,sl_trail_hits,sl_loss_hits
Jan2019_Jul2020,kraken,USD,XBT,hilo,51,147,36,-48 %,56 %,11.6,-7.4,sell,2020-06-26T14:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2019_Jul2020_comm_0.1_R5bMQb.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""XBT""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2019_Jul2020,kraken,USD,ETH,hilo,131,72,30,-45 %,47 %,28.4,-9.1,sell,2020-06-27T16:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2019_Jul2020_comm_0.1_R5bMQb.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""ETH""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2019_Jul2020,kraken,USD,XRP,hilo,-25,-50,30,-44 %,47 %,6,-7.8,sell,2020-06-11T13:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XRP"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2019_Jul2020_comm_0.1_R5bMQb.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""XRP""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2019_Jul2020,kraken,USD,LTC,hilo,119,38,30,-37 %,40 %,31.8,-6.8,sell,2020-06-11T14:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""LTC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2019_Jul2020_comm_0.1_R5bMQb.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""LTC""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2019_Jul2020,kraken,USD,BCH,hilo,211,50,30,-53 %,33 %,53.8,-7.4,sell,2020-06-26T07:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""BCH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2019_Jul2020_comm_0.1_R5bMQb.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""BCH""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2019_Jul2020,binance,USDT,BNB,hilo,211,151,30,-36 %,53 %,26.8,-7.3,sell,2020-06-11T15:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""BNB"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2019_Jul2020_comm_0.1_R5bMQb.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""BNB""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2019_Jul2020,kraken,USD,EOS,hilo,161,-6,26,-45 %,54 %,24.6,-7.7,sell,2020-06-11T15:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""EOS"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2019_Jul2020_comm_0.1_R5bMQb.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""EOS""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2019_Jul2020,bitfinex,USD,BSV,hilo,683,82,20,-48 %,50 %,95.2,-10.7,sell,2020-06-07T13:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""bitfinex"",""currency"":""USD"",""asset"":""BSV"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2019_Jul2020_comm_0.1_R5bMQb.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""BSV""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2019_Jul2020,kraken,USD,XLM,hilo,66,-39,26,-48 %,46 %,21.5,-7.8,sell,2020-06-11T15:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XLM"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2019_Jul2020_comm_0.1_R5bMQb.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""XLM""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
Jan2019_Jul2020,binance,USDT,ADA,hilo,239,105,28,-45 %,50 %,31.9,-7.5,sell,2020-06-27T19:00:00.000Z,60,240,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""10d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":240},""backtest"":{""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""ADA"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_10d_CLOSE_60m_Jan2019_Jul2020_comm_0.1_R5bMQb.csv"",""quickName"":""hilo_b60_high_10d_CLOSE"",""asset"":""ADA""}}},""daterange"":{""name"":""Jan2019_Jul2020"",""from"":""2019-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2019_Jul2020"",""from"":""2018-12-22T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""10d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_10d_CLOSE,0.1,0,0,0,0,0
