daterange,exchange,currency,asset,strategy,profit,market,trades,maxDD,winPct,avgWin,avgLoss,lastAction,lastActionDate,candleSize,historySize,raw full,quickName,commission,sl_hits,sl_atr_hits,sl_flash_hits,sl_trail_hits,sl_loss_hits
Jan2017_Jan2018,kraken,USD,XBT,hilo,501,1347,42,-36 %,62 %,24.5,-8.2,sell,2017-12-30T04:00:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jan2018_comm_0.1_WgKT5O.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""XBT""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-01T00:00:00Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,ETH,hilo,878,9124,38,-72 %,68 %,30.6,-11.6,sell,2017-12-30T04:00:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jan2018_comm_0.1_WgKT5O.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""ETH""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-01T00:00:00Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,XRP,hilo,277,496,23,-56 %,36 %,52.2,-9.8,buy,2017-12-21T09:46:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-05-18T15:46:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XRP"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jan2018_comm_0.1_WgKT5O.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""XRP""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-05-23T15:46:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2017-05-18T15:46:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,LTC,hilo,1098,5161,42,-57 %,48 %,53.8,-9.4,sell,2017-12-21T15:00:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""LTC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jan2018_comm_0.1_WgKT5O.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""LTC""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-01T00:00:00Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,BCH,hilo,277,859,18,-71 %,44 %,77.3,-13.1,sell,2017-12-28T02:01:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-08-01T16:01:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""BCH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jan2018_comm_0.1_WgKT5O.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""BCH""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-08-06T16:01:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2017-08-01T16:01:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,XMR,hilo,411,2481,42,-63 %,38 %,61.2,-9,sell,2017-12-30T02:14:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-02T19:14:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XMR"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jan2018_comm_0.1_WgKT5O.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""XMR""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-07T19:14:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-02T19:14:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,DASH,hilo,325,1243,28,-58 %,50 %,39.3,-6.2,sell,2017-12-22T06:28:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-04-12T17:28:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""DASH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jan2018_comm_0.1_WgKT5O.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""DASH""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-04-17T17:28:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2017-04-12T17:28:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,ETC,hilo,483,1763,44,-65 %,45 %,46.6,-10.9,sell,2017-12-22T02:00:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jan2018_comm_0.1_WgKT5O.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""ETC""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-01T00:00:00Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,ZEC,hilo,1215,887,30,-56 %,67 %,46.6,-9.4,sell,2017-12-22T07:00:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ZEC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jan2018_comm_0.1_WgKT5O.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""ZEC""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-01T00:00:00Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,GNO,hilo,27,39,12,-61 %,33 %,44,-10.6,sell,2017-08-12T13:20:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-05-01T17:20:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""GNO"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jan2018_comm_0.1_WgKT5O.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""GNO""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-05-06T17:20:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2017-05-01T17:20:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
