daterange,exchange,currency,asset,strategy,profit,market,trades,maxDD,winPct,avgWin,avgLoss,lastAction,lastActionDate,candleSize,historySize,raw full,quickName,commission,sl_hits,sl_atr_hits,sl_flash_hits,sl_trail_hits,sl_loss_hits
Jan2017_Jul2020,kraken,USD,XBT,hilo,823,844,154,-50 %,45 %,16.2,-5.6,sell,2020-06-24T15:00:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_nWEdYJ.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""XBT""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,ETH,hilo,4411,2693,134,-72 %,43 %,26.6,-5.9,sell,2020-06-27T15:00:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_nWEdYJ.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""ETH""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,XRP,hilo,437,-48,118,-57 %,34 %,30.1,-6.4,sell,2020-06-20T14:46:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-05-18T15:46:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XRP"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_nWEdYJ.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""XRP""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-05-23T15:46:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2017-05-18T15:46:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,LTC,hilo,863,841,146,-70 %,41 %,26.2,-7.7,sell,2020-06-24T14:00:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""LTC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_nWEdYJ.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""LTC""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,BCH,hilo,860,-11,118,-71 %,37 %,33.2,-7.8,sell,2020-06-25T03:01:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-08-01T16:01:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""BCH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_nWEdYJ.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""BCH""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-08-06T16:01:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2017-08-01T16:01:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,XMR,hilo,617,392,148,-100 %,38 %,26.4,-6.5,sell,2020-06-26T06:14:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-02T19:14:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XMR"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_nWEdYJ.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""XMR""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-07T19:14:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-02T19:14:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,DASH,hilo,649,-11,122,-72 %,41 %,26.1,-7.3,sell,2020-06-26T06:28:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-04-12T17:28:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""DASH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_nWEdYJ.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""DASH""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-04-17T17:28:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2017-04-12T17:28:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,ETC,hilo,508,294,146,-88 %,38 %,27.5,-8.2,sell,2020-06-24T15:00:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_nWEdYJ.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""ETC""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,ZEC,hilo,1461,6,136,-60 %,49 %,22.4,-7.4,sell,2020-06-27T19:00:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ZEC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_nWEdYJ.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""ZEC""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-01-01T00:00:00Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2017_Jul2020,kraken,USD,GNO,hilo,-55,-79,108,-94 %,30 %,25.5,-9.7,sell,2020-06-22T00:20:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""name"":""hilo"",""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-05-01T17:20:00.000Z"",""to"":""2020-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""GNO"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2017_Jul2020_comm_0.1_nWEdYJ.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""GNO""}}},""daterange"":{""name"":""Jan2017_Jul2020"",""from"":""2017-05-06T17:20:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jul2020"",""from"":""2017-05-01T17:20:00.000Z"",""to"":""2020-07-01T00:00:00Z""},""rawStratParams"":""name = \""hilo\""\nbatchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
