daterange,exchange,currency,asset,strategy,profit,market,trades,maxDD,winPct,avgWin,avgLoss,lastAction,lastActionDate,candleSize,historySize,raw full,quickName,commission,sl_hits,sl_atr_hits,sl_flash_hits,sl_trail_hits,sl_loss_hits
Jan2018_Jan2019,kraken,USD,XBT,hilo,-11,-74,40,-35 %,35 %,9.3,-5.2,sell,2018-12-25T15:00:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_TONhlF.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""XBT""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-01T00:00:00Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2018_Jan2019,kraken,USD,ETH,hilo,60,-82,35,-51 %,29 %,30,-5.1,buy,2018-12-29T21:00:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_TONhlF.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""ETH""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-01T00:00:00Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2018_Jan2019,kraken,USD,XRP,hilo,87,-83,30,-52 %,47 %,23.9,-8.3,sell,2018-12-27T19:00:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XRP"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_TONhlF.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""XRP""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-01T00:00:00Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2018_Jan2019,kraken,USD,LTC,hilo,-55,-87,38,-66 %,26 %,13.4,-9.2,sell,2018-12-26T14:00:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""LTC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_TONhlF.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""LTC""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-01T00:00:00Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2018_Jan2019,kraken,USD,BCH,hilo,23,-94,36,-52 %,33 %,26.8,-8.3,sell,2018-12-27T19:00:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""BCH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_TONhlF.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""BCH""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-01T00:00:00Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2018_Jan2019,binance,USDT,BNB,hilo,-23,-28,51,-74 %,36 %,13.4,-7.4,buy,2018-12-31T03:00:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""BNB"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_TONhlF.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""BNB""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-01T00:00:00Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2017-12-27T00:00:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2018_Jan2019,kraken,USD,EOS,hilo,80,-70,30,-62 %,40 %,32.2,-7.8,sell,2018-12-25T10:39:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-16T23:39:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""EOS"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_TONhlF.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""EOS""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-21T23:39:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-16T23:39:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2018_Jan2019,kraken,USD,XLM,hilo,16,-69,32,-42 %,38 %,21,-8.4,sell,2018-12-26T13:50:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-17T17:50:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XLM"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_TONhlF.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""XLM""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-22T17:50:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2018-02-17T17:50:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2018_Jan2019,binance,USDT,ADA,hilo,-2,-86,22,-30 %,45 %,9,-6.8,sell,2018-12-26T14:02:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-04-17T04:02:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""ADA"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_TONhlF.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""ADA""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-04-22T04:02:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2018-04-17T04:02:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
Jan2018_Jan2019,bitfinex,USD,TRX,hilo,81,-63,32,-59 %,38 %,30.7,-7.7,sell,2018-12-27T20:02:00.000Z,60,120,"{""strategyName"":""hilo"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""hilo"":{""batchSize"":60,""candleSize"":60,""high_period"":""5d"",""high_multi"":0,""high_source"":""CLOSE""},""tradingAdvisor"":{""enabled"":true,""method"":""hilo"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-26T18:02:00.000Z"",""to"":""2019-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""bitfinex"",""currency"":""USD"",""asset"":""TRX"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/hilo_b60_high_5d_CLOSE_60m_Jan2018_Jan2019_comm_0.1_TONhlF.csv"",""quickName"":""hilo_b60_high_5d_CLOSE"",""asset"":""TRX""}}},""daterange"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-31T18:02:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2018_Jan2019"",""from"":""2018-01-26T18:02:00.000Z"",""to"":""2019-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nhigh_period = \""5d\""\nhigh_multi = 0\nhigh_source = \""CLOSE\""""}",hilo_b60_high_5d_CLOSE,0.1,0,0,0,0,0
