daterange,exchange,currency,asset,strategy,profit,market,trades,maxDD,winPct,avgWin,avgLoss,lastAction,lastActionDate,candleSize,historySize,raw full,quickName,commission,sl_hits,sl_atr_hits,sl_flash_hits,sl_trail_hits,sl_loss_hits
Jan2017_Jan2018,kraken,USD,XBT,rx_bb_bout,375,1347,42,-33 %,62 %,20.9,-7.7,sell,2017-12-30T16:00:00.000Z,60,120,"{""strategyName"":""rx_bb_bout"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""rx_bb_bout"":{""batchSize"":60,""candleSize"":60,""bb_thr"":0.2,""bb_stddev"":2,""bb_period"":""5d"",""cooldown_period"":""1h"",""bb_xma"":""SuperSmoother""},""tradingAdvisor"":{""enabled"":true,""method"":""rx_bb_bout"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h_60m_Jan2017_Jan2018_comm_0.1_6vT0kC.csv"",""quickName"":""rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h"",""asset"":""XBT""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-01T00:00:00Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nbb_thr = 0.2\nbb_stddev = 2\nbb_period = \""5d\""\ncooldown_period = \""1h\""\nbb_xma = \""SuperSmoother\""""}",rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,ETH,rx_bb_bout,1087,9124,40,-72 %,65 %,35,-12.8,sell,2017-12-22T02:00:00.000Z,60,120,"{""strategyName"":""rx_bb_bout"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""rx_bb_bout"":{""batchSize"":60,""candleSize"":60,""bb_thr"":0.2,""bb_stddev"":2,""bb_period"":""5d"",""cooldown_period"":""1h"",""bb_xma"":""SuperSmoother""},""tradingAdvisor"":{""enabled"":true,""method"":""rx_bb_bout"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h_60m_Jan2017_Jan2018_comm_0.1_6vT0kC.csv"",""quickName"":""rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h"",""asset"":""ETH""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-01T00:00:00Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nbb_thr = 0.2\nbb_stddev = 2\nbb_period = \""5d\""\ncooldown_period = \""1h\""\nbb_xma = \""SuperSmoother\""""}",rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,XRP,rx_bb_bout,348,496,25,-54 %,33 %,55.6,-9.8,buy,2017-12-21T01:46:00.000Z,60,120,"{""strategyName"":""rx_bb_bout"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""rx_bb_bout"":{""batchSize"":60,""candleSize"":60,""bb_thr"":0.2,""bb_stddev"":2,""bb_period"":""5d"",""cooldown_period"":""1h"",""bb_xma"":""SuperSmoother""},""tradingAdvisor"":{""enabled"":true,""method"":""rx_bb_bout"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-05-18T15:46:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XRP"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h_60m_Jan2017_Jan2018_comm_0.1_6vT0kC.csv"",""quickName"":""rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h"",""asset"":""XRP""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-05-23T15:46:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2017-05-18T15:46:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nbb_thr = 0.2\nbb_stddev = 2\nbb_period = \""5d\""\ncooldown_period = \""1h\""\nbb_xma = \""SuperSmoother\""""}",rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,LTC,rx_bb_bout,664,5161,54,-71 %,41 %,48.4,-9.1,sell,2017-12-20T16:00:00.000Z,60,120,"{""strategyName"":""rx_bb_bout"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""rx_bb_bout"":{""batchSize"":60,""candleSize"":60,""bb_thr"":0.2,""bb_stddev"":2,""bb_period"":""5d"",""cooldown_period"":""1h"",""bb_xma"":""SuperSmoother""},""tradingAdvisor"":{""enabled"":true,""method"":""rx_bb_bout"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""LTC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h_60m_Jan2017_Jan2018_comm_0.1_6vT0kC.csv"",""quickName"":""rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h"",""asset"":""LTC""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-01T00:00:00Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nbb_thr = 0.2\nbb_stddev = 2\nbb_period = \""5d\""\ncooldown_period = \""1h\""\nbb_xma = \""SuperSmoother\""""}",rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,BCH,rx_bb_bout,503,859,13,-66 %,50 %,155.6,-14.5,buy,2017-12-29T15:01:00.000Z,60,120,"{""strategyName"":""rx_bb_bout"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""rx_bb_bout"":{""batchSize"":60,""candleSize"":60,""bb_thr"":0.2,""bb_stddev"":2,""bb_period"":""5d"",""cooldown_period"":""1h"",""bb_xma"":""SuperSmoother""},""tradingAdvisor"":{""enabled"":true,""method"":""rx_bb_bout"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-08-01T16:01:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""BCH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h_60m_Jan2017_Jan2018_comm_0.1_6vT0kC.csv"",""quickName"":""rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h"",""asset"":""BCH""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-08-06T16:01:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2017-08-01T16:01:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nbb_thr = 0.2\nbb_stddev = 2\nbb_period = \""5d\""\ncooldown_period = \""1h\""\nbb_xma = \""SuperSmoother\""""}",rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,XMR,rx_bb_bout,328,2481,40,-64 %,50 %,31.3,-7.5,sell,2017-12-30T02:14:00.000Z,60,120,"{""strategyName"":""rx_bb_bout"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""rx_bb_bout"":{""batchSize"":60,""candleSize"":60,""bb_thr"":0.2,""bb_stddev"":2,""bb_period"":""5d"",""cooldown_period"":""1h"",""bb_xma"":""SuperSmoother""},""tradingAdvisor"":{""enabled"":true,""method"":""rx_bb_bout"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-02T19:14:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XMR"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h_60m_Jan2017_Jan2018_comm_0.1_6vT0kC.csv"",""quickName"":""rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h"",""asset"":""XMR""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-07T19:14:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-02T19:14:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nbb_thr = 0.2\nbb_stddev = 2\nbb_period = \""5d\""\ncooldown_period = \""1h\""\nbb_xma = \""SuperSmoother\""""}",rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,DASH,rx_bb_bout,292,1243,30,-60 %,53 %,36.3,-9,sell,2017-12-22T06:28:00.000Z,60,120,"{""strategyName"":""rx_bb_bout"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""rx_bb_bout"":{""batchSize"":60,""candleSize"":60,""bb_thr"":0.2,""bb_stddev"":2,""bb_period"":""5d"",""cooldown_period"":""1h"",""bb_xma"":""SuperSmoother""},""tradingAdvisor"":{""enabled"":true,""method"":""rx_bb_bout"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-04-12T17:28:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""DASH"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h_60m_Jan2017_Jan2018_comm_0.1_6vT0kC.csv"",""quickName"":""rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h"",""asset"":""DASH""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-04-17T17:28:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2017-04-12T17:28:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nbb_thr = 0.2\nbb_stddev = 2\nbb_period = \""5d\""\ncooldown_period = \""1h\""\nbb_xma = \""SuperSmoother\""""}",rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,ETC,rx_bb_bout,882,1763,44,-60 %,45 %,50.6,-8.7,sell,2017-12-22T02:00:00.000Z,60,120,"{""strategyName"":""rx_bb_bout"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""rx_bb_bout"":{""batchSize"":60,""candleSize"":60,""bb_thr"":0.2,""bb_stddev"":2,""bb_period"":""5d"",""cooldown_period"":""1h"",""bb_xma"":""SuperSmoother""},""tradingAdvisor"":{""enabled"":true,""method"":""rx_bb_bout"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ETC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h_60m_Jan2017_Jan2018_comm_0.1_6vT0kC.csv"",""quickName"":""rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h"",""asset"":""ETC""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-01T00:00:00Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nbb_thr = 0.2\nbb_stddev = 2\nbb_period = \""5d\""\ncooldown_period = \""1h\""\nbb_xma = \""SuperSmoother\""""}",rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,ZEC,rx_bb_bout,35,887,44,-72 %,55 %,19.5,-14.8,sell,2017-12-22T03:00:00.000Z,60,120,"{""strategyName"":""rx_bb_bout"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""rx_bb_bout"":{""batchSize"":60,""candleSize"":60,""bb_thr"":0.2,""bb_stddev"":2,""bb_period"":""5d"",""cooldown_period"":""1h"",""bb_xma"":""SuperSmoother""},""tradingAdvisor"":{""enabled"":true,""method"":""rx_bb_bout"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""ZEC"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h_60m_Jan2017_Jan2018_comm_0.1_6vT0kC.csv"",""quickName"":""rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h"",""asset"":""ZEC""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-01-01T00:00:00Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2016-12-27T00:00:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nbb_thr = 0.2\nbb_stddev = 2\nbb_period = \""5d\""\ncooldown_period = \""1h\""\nbb_xma = \""SuperSmoother\""""}",rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h,0.1,0,0,0,0,0
Jan2017_Jan2018,kraken,USD,GNO,rx_bb_bout,67,39,12,-40 %,50 %,32.4,-7.5,sell,2017-09-04T12:20:00.000Z,60,120,"{""strategyName"":""rx_bb_bout"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""rx_bb_bout"":{""batchSize"":60,""candleSize"":60,""bb_thr"":0.2,""bb_stddev"":2,""bb_period"":""5d"",""cooldown_period"":""1h"",""bb_xma"":""SuperSmoother""},""tradingAdvisor"":{""enabled"":true,""method"":""rx_bb_bout"",""candleSize"":60,""historySize"":120},""backtest"":{""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-05-01T17:20:00.000Z"",""to"":""2018-01-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0},""performanceAnalyzer"":{""riskFreeReturn"":0,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""GNO"",""dateranges"":[""JunJul""]},""bt"":{""fileName"":""./results/rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h_60m_Jan2017_Jan2018_comm_0.1_6vT0kC.csv"",""quickName"":""rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h"",""asset"":""GNO""}}},""daterange"":{""name"":""Jan2017_Jan2018"",""from"":""2017-05-06T17:20:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""Jan2017_Jan2018"",""from"":""2017-05-01T17:20:00.000Z"",""to"":""2018-01-01T00:00:00Z""},""rawStratParams"":""batchSize = 60\ncandleSize = 60\nbb_thr = 0.2\nbb_stddev = 2\nbb_period = \""5d\""\ncooldown_period = \""1h\""\nbb_xma = \""SuperSmoother\""""}",rx_bb_bout_b60_[BB_SuperSmoother_5d_2_0.2]_cd_1h,0.1,0,0,0,0,0
